종류                        설명
text            한 줄짜리 텍스트를 입력할 수 있는 텍스트 박스를 넣습니다.
password        비밀번호를 입력할 수 있는 필드를 넣습니다.
search          검색할 때 입력하는 필드를 넣습니다.
url             URL 주소를 입력할 수 있는 필드를 넣습니다.
email           이메일 주소를 입력할 수 있는 필드를 넣습니다.
tel             전화번호를 입력할 수 있는 필들를 넣습니다.
checkbox        주어진 여러 항목에서 2개 이상 선택할 수 있는 체크 박스를 넣습니다.
radio           주어진 여러 항목에서 1개만 선택할 수 있는 라디오 버튼을 넣습니다.
number          숫자를 조절할 수 있는 스핀 박스를 넣습니다.
range           숫자를 조절할 수 있는 슬라이드 막대를 넣습니다.
date            사용자 지역을 기준으로 날짜(연, 월, 일)을 넣습니다.
month           사용자 지역을 기준으로 날짜(연, 월)을 넣습니다.
week            사용자 지역을 기준으로 날짜(연, 일)을 넣습니다.
time            사용자 지역을 기준으로 시간(시, 분, 초, 분할 초)을 넣습니다.
datetime        국제 표준시(UTC)로 설정된 날짜와 시간(연, 월, 일, 시, 분, 초, 분할 초)을 넣습니다.
datetime-local  사용자가 있는 지역을 기준으로 날짜와 시간(연, 월, 일, 시, 분, 초, 분할 초)을 넣습니다.
submit          전송 버튼을 넣습니다.
reset           리셋 버튼을 넣습니다.
image           submit 버튼 대신 사용할 이미지를 넣습니다.
button          일반 버튼을 넣습니다.
file            파일을 첨부할 수 있는 버튼을 넣습니다.
hidden          사용자에게는 보이지 않지만 서버로 넘겨주는 값이 있는 필드를 만듭니다.
